Index,Artist,Title,Mood,Lyrics
ML5,Morgan Heritage,Don't Haffi Dread,neg,"Yeah, yeah, yeah - ragga so ragga
You don't ha fi dread to be rasta (don't ha fi dread)
This is not a dreadlocks thing
Divine conception of the heart, well
(Repeat)
Oh, it's a life of a livity
Lived by the fathers of our history
Uphold the anciency and prophecy
Trust in the power of the Trinity, yeah
Got to believe in His Majesty
Oh yes, his lineage an divinity
The first step is serenity
Knowing one self's true royalty, yeah
You don't ha fi dread to be rasta, yeah
(Don't ha fi dread)
This is not a dreadlocks thing
Divine conception of the heart, well
(Repeat)
Don't be afraid of Jah ever burning fire
Trust in Jah fire and you never get burn
The fire that reigns over heat, air and water
No water can put out Jah fire
Jah fire gonna lift Rasta higher
You don't ha fi dread to be rasta, yeah
(Don't ha fi dread)
This is not a dreadlocks thing
Divine conception of the heart, well
(Repeat)"
ML7,Serani,Study People,neg,"Seri, Seri, Seri, Serani!
Everywhere I go they find me
Hypocrites and badminds
Every, every, every, every
Everywhere I Go
They fine me
Hypocrites and badminds
Every every every every
Everywhere I Go they find me
Backstabbers and parasites
Some some somebody tell me what
They want from me
Me say ya can't study people
Dem same people a study bare evil
But good ova evil me see say dem feeble
I'm fighting for a cause a mi them can't pause
Yeah me say ya can't study people
Dem same people a study bare evil
But good ova evil me see say dem feeble
I'm fightin for a cause
Because' you know it's everywhere
Evil in the atmosphere things catching
Righteous please beware
We dem watchin
Chit chatting it's clear there's so
Many envious out there
By the power in me
And the help of the father,
Serani never fear another
I'm a live up, never give up, choose the ripper
Somebody tell me what
They want from me
Me say ya can't study people
Dem same people a study bare evil
But good ova evil me see say dem feeble
I'm fighting for a cause a mi them can't pause
Yeah me say ya can't study people
Dem same people a study bare evil
But good ova evil me see say dem feeble
I'm fightin for a cause
Because
For me, the fassy dem a plan
Dem ago lose the battle
Cause almighty ah me Dan
Me conscience free cah me never do no wrong
A music me make, write and sing song
Remember I said you can see it in their face
We no the genuine ones from the fakes
Judge dem by the way them embrace
Such disgrace...
Some some somebody tell me what
They want from me
Me say ya can't study people
Dem same people a study bare evil
But good ova evil me see say dem feeble
I'm fighting for a cause a mi them can't pause
Yeah me say ya can't study people
Dem same people a study bare evil
But good ova evil me see say dem feeble
I'm fightin for a cause
Because
Everywhere I Go
They fine me
Hypocrites and badminds
Every every every every
Everywhere I Go they find me
Backstabbers and parasites
Some some somebody tell me what
They want from me
Me say ya can't study people
Dem same people a study bare evil
But good ova evil me see say dem feeble
I'm fighting for a cause a mi them can't pause
Yeah me say ya can't study people
Dem same people a study bare evil
But good ova evil me see say dem feeble
I'm fightin for a cause
Because"
ML16,New Direction,I Came To Jesus,neg,"I was messed up, dirty as I could be,
I was on my way to hell;
But I heard the preacher,
Preaching the Word of God,
Confess your sins and repent.
I came to Jesus as I was,
Weary, worn, and sad.
I found in Him a resting place
And He has made, made me glad.
I asked the Lord,
""How could He love me,
I have sinned against Your will"".
But He said, ""repent and I will forgive you,
The question's who will you serve?""
You might be dirty, messed up inside,
You may even have lost your will to live;
Don't be discouraged, don't throw in the towel,
Confess your sins and repent so you can be like me.
Vamp 1:
Weary
Vamp 2:
Jesus"
ML19,Jordin Sparks,Battlefield,neg,"Don't try to explain your mind
I know what's happening here
One minute it's love
And suddenly it's like a battle-field
One word turns into a war
