Index,Artist,Title,Mood
ML1,Usher,There Goes My Baby,pos
ML2,Da'Ville,On My Mind,pos
ML3,Rihanna,Rockstar 101 ,pos
ML4,J. Holiday,Bed,pos
ML5,Morgan Heritage,Don't Haffi Dread,neg
ML6,Whitney Houston,My Love Is Your Love,pos
ML7,Serani,Study People,neg
ML8,Austra,Spellwork,neg
ML9,Coro,Can't Let You Go,pos
ML10,Beenie Man,Slam,pos
ML11,Deitrick Haddon,Love Him Like I Do ,pos
ML12,The Jackson 5,ABC,pos
ML13,Maysa,The Lady In My Life,pos
ML14,Ryan Shaw,We Got Love,pos
ML15,The Paris Sisters,I Love How You Love Me,pos
ML16,New Direction,I Came To Jesus,neg
ML17,Kurt Carr & The Kurt Carr Singers,God Great God,pos
ML18,Kenny Lattimore,And I Love Her,pos
ML19,Jordin Sparks,Battlefield,neg
ML20,Spoon,You Got Yr. Cherry Bomb,neg
ML21,Tarralyn Ramsey,Peace Of God,pos
ML22,Tyrese,One,pos
ML23,Dr. Dog,Where'd All The Time Go?,neg
ML24,Tarralyn Ramsey,Unconditional Love,pos
ML25,Kool & The Gang,Steppin' Into Love,pos
ML26,Anders Osborne,Darkness At The Bottom,neg
ML27,The Rolling Stones,Gimme Shelter,neg
ML28,The Rolling Stones,Happy,pos
ML29,Bobby Bare,Detroit City,pos
ML30,Gene Watson,Got No Reason Now For Goin' Home,pos
ML31,George Strait,El Rey,neg
ML32,Playing For Change,Don't Worry,pos
ML33,The Rolling Stones,Melody,pos
ML34,Stars,Fixed,neg
ML35,Glasser,Home,pos
ML36,Betty Wright,Where Is The Love,pos
ML37,Mavis Staples,You Are Not Alone,neg
ML38,The Rolling Stones,Not Fade Away,pos
ML39,The Beach Boys,God Only Knows,pos
ML40,Korn,Blind,neg
ML41,Megadeth,Angry Again,neg
ML42,Ra,Do You Call My Name,neg
ML43,Avenged Sevenfold,Nightmare,neg
ML44,Mudvayne,Scream With Me,neg
ML45,Static-X,Dirthouse,neg
ML46,Metallica,Cyanide,neg
ML47,Green Day,Longview,neg
ML48,Nirvana,Rape Me,neg
ML49,Marilyn Manson,Sweet Dreams ,neg
ML50,Staind,Mudshovel,neg
ML51,Pantera,This Love,pos
ML52,Chevelle,Send The Pain Below,neg
ML53,The Red Hot Chili Peppers,Scar Tissue,neg
ML54,Metallica,Harvester Of Sorrow,neg
ML55,Guns N' Roses,Civil War,neg
ML56,Shadows Fall,King Of Nothing,neg
ML57,Comeback Kid,Do Yourself A Favor,neg
ML58,Rob Zombie,Superbeast,neg
ML59,Pearl Jam,Why Go,pos
ML60,Scorpions,Rock You Like A Hurricane,neg
ML61,Nine Inch Nails,Terrible Lie,neg
ML62,Stone Temple Pilots,Wicked Garden,neg
ML63,Smashing Pumpkins,Bullet With Butterfly Wings,neg
ML64,Nirvana,Come As You Are,neg
ML65,Black Sabbath,War Pigs,neg
ML66,Korn,Everything I've Known,neg
ML67,Disturbed,Indestructible,neg
ML68,Three Days Grace,Riot,neg
ML69,Dierks Bentley,Free And Easy ,pos
ML70,Kenny Chesney,When The Sun Goes Down ,pos
ML71,Zac Brown Band,Free,pos
ML72,Frankie Ballard,Tell Me You Get Lonely,neg
ML73,Faith Hill,The Way You Love Me,pos
ML74,Blake Shelton,Home,pos
ML75,Josh Turner,Your Man,pos
ML76,Alice Cooper,Welcome To My Nightmare,neg
ML77,Led Zeppelin,Rock And Roll,neg
ML78,Joan Jett & The Blackhearts,I Hate Myself For Loving You,neg
ML79,Jonny Lang,Lie To Me,neg
ML80,The Doors,Love Her Madly,pos
ML81,Eric Clapton,Cocaine,neg
ML82,Robert Cray,Smoking Gun,neg
ML83,Jefferson Airplane,Somebody To Love,pos
ML84,Supertramp,Bloody Well Right,neg
ML85,Ted Nugent,Cat Scratch Fever,neg
ML86,Alice Cooper,No More Mr. Nice Guy,neg
ML87,Neil Young,Heart Of Gold,pos
ML88,Boston,Let Me Take You Home Tonight,pos
ML89,Scorpions,Still Loving You,pos
ML90,The Doors,Light My Fire,neg
ML91,Night Ranger,Don't Tell Me You Love Me,pos
ML92,Lynyrd Skynyrd,That Smell,neg
ML93,Pat Benatar,Hit Me With Your Best Shot,neg
ML94,Guns N' Roses,Paradise City,pos
ML95,Yes,I've Seen All Good People,pos
ML96,Motley Crue,Home Sweet Home,pos
ML97,Lynyrd Skynyrd,You Got That Right,neg
ML98,Bad Company,Feel Like Makin' Love,pos
ML99,Jethro Tull,Locomotive Breath,neg
ML100,Bad Company,Can't Get Enough,pos
ML101,The Who,Love Reign O'er Me,pos
ML102,Billy Squier,In The Dark,neg
ML103,Pink Floyd,One Of These Days,neg
ML104,Van Halen,Runnin' With The Devil,neg
ML105,David Bowie,Fame,pos
ML106,Three Plus,Undercover Lover,pos
ML107,Three Plus,Honey Baby,pos
ML108,Three Plus,Two Person Party,pos
ML109,Bob Marley & The Wailers,Easy Skanking,pos
ML110,Gregory Isaacs,Private Beach Party,pos
ML111,Fiji,Anything You Want,pos
ML112,Ooklah The Moc,Hell Fire,neg
ML113,Shaggy,Angel ,pos
ML114,Sean Paul,I'm Still In Love With You ,pos
ML115,The Beach Boys,Good Vibrations,pos
ML116,Orleans,Still The One,pos
ML117,The Babys,Every Time I Think Of You,pos
ML118,R.E.M.,The One I Love,neg
ML119,The Cure,Lovesong,pos
ML120,Annie Lennox,Walking On Broken Glass,neg
ML121,Soft Cell,Tainted Love,pos
ML122,Lenny Kravitz,Again,pos
ML123,Cyndi Lauper,Time After Time,neg
ML124,Falco,Rock Me Amadeus,neg
ML125,The Fixx,Saved By Zero,pos
ML126,Gino Vannelli,Living Inside Myself,neg
ML127,Aretha Franklin,Respect,pos
ML128,Melissa Etheridge,I'm The Only One,neg
ML129,Fleetwood Mac,Go Your Own Way,neg
ML130,Andy Kim,Rock Me Gently,pos
ML131,The Bee Gees,Lonely Days,neg
ML132,Rod Stewart,Passion,pos
ML133,U2,Pride ,pos
ML134,Janet Jackson,Nasty,neg
ML135,Howard Jones,What Is Love?,pos
ML136,Sheryl Crow,A Change Would Do You Good,pos
ML137,The Thompson Twins,King For A Day,pos
ML138,.38 Special,Second Chance,pos
ML139,Depeche Mode,Strangelove,neg
ML140,Kajagoogoo,Too Shy,neg
ML141,The Flying Lizards,Money ,pos
ML142,Kenny Loggins,Danger Zone,neg
ML143,Eddie Money,Think I'm In Love,pos
ML144,Donna Summer,Bad Girls,neg
ML145,John Cougar Mellencamp,Authority Song,neg
ML146,Aerosmith,Janie's Got A Gun,neg
ML147,The Motels,Only The Lonely,neg
ML148,Edwin Starr,War,neg
ML149,Tesla,Love Song,pos
ML150,Andrew Gold,Lonely Boy,neg
ML151,Madonna,Angel,pos
ML152,Duran Duran,I Don't Want Your Love,pos
ML153,Alias,More Than Words Can Say,pos
ML154,Mr. Mister,Is It Love,pos
ML155,Right Said Fred,I'm Too Sexy,pos
ML156,John Mellencamp,Lonely Ol' Night,neg
ML157,Kenny Loggins,Whenever I Call You Friend ,pos
ML158,The Pointer Sisters,Fire,neg
ML159,Duran Duran,A View To A Kill,neg
ML160,Seals & Crofts,Diamond Girl,pos
ML161,April Wine,Just Between You And Me,pos
ML162,Paul McCartney & Wings,My Love,pos
ML163,Nelly Furtado,I'm Like A Bird,pos
ML164,The Beatles,Can't Buy Me Love,pos
ML165,Lita Ford,Kiss Me Deadly,pos
ML166,The Trammps,Disco Inferno,neg
ML167,Killswitch Engage,This Fire Burns,neg
ML168,Atreyu,Lip Gloss And Black,neg
ML169,Alkaline Trio,Burn,neg
ML170,Demon Hunter,Lifewar,neg
ML171,Hot Hot Heat,Bandages,neg
ML172,Buzzcocks,Love You More,pos
ML173,Social Distortion,Ring Of Fire,neg
ML174,Streetlight Manifesto,Sick And Sad,neg
ML175,Reel Big Fish,The Fire,neg
ML176,Limp Bizkit,Take A Look Around,neg
ML177,Rancid,The Bravest Kids,neg
ML178,The Clash,White Riot,neg
ML179,Me First & The Gimme Gimmes,Over The Rainbow,pos
ML180,The Winans,Uphold Me,pos
ML181,Donnie McClurkin,We Fall Down,neg
ML182,Tonex,God Has Not 4got,pos
ML183,Jonathan Nelson,My Name Is Victory ,pos
ML184,Tamela Mann,Joy Of The Lord,pos
ML185,CeCe Winans,Waging War,neg
ML186,Juanita Bynum,Peace,pos
ML187,Vanessa Bell Armstrong,Desire Of My Heart,pos
ML188,B.B. King,The Thrill Is Gone,pos
ML189,The Art Of Noise,Moments In Love,pos
ML190,Norah Jones,Chasing Pirates,neg
ML191,Sade,Never As Good As The First Time,pos
ML192,Chaka Khan,Through The Fire,neg
ML193,Alicia Keys,Fallin',pos
ML194,Sade,I Couldn't Love You More,pos
ML195,Sting,It's Probably Me,neg
ML196,Go West,What You Won't Do For Love,pos
ML197,Robin Thicke,Lost Without U,pos
ML198,Sade,No Ordinary Love,pos
ML199,Luther Vandross,Any Love,pos
ML200,Sade,Kiss Of Life,pos
ML201,Jason Mraz,Lucky ,pos
ML202,Kenny G,What A Wonderful World ,pos
ML203,Bobby Caldwell,What You Won't Do For Love,pos
ML204,Dave Matthews Band,Crash Into Me,neg
ML205,Michael Buble,Home,pos
ML206,Anita Baker,Same Ole Love ,pos
ML207,Enya,Caribbean Blue,pos
ML208,Natalie Cole,This Will Be,pos
ML209,Avenged Sevenfold,Scream,neg
ML210,Metallica,Holier Than Thou,neg
ML211,Hail The Villain,Take Back The Fear,neg
ML212,Sick Puppies,Street Fighter ,neg
ML213,Flyleaf,I'm So Sick,neg
ML214,Nirvana,You Know You're Right,neg
ML215,Three Days Grace,Home,pos
ML216,Three Days Grace,Animal I Have Become,neg
ML217,Breaking Benjamin,Until The End,neg
ML218,Disturbed,The Game,neg
ML219,Metallica,Seek And Destroy,neg
ML220,Red,Death Of Me,neg
ML221,The Prodigy,Breathe,neg
ML222,Smashing Pumpkins,Disarm,neg
ML223,Soundgarden,Rusty Cage,neg
ML224,Silverchair,Tomorrow,neg
ML225,Rage Against The Machine,Bombtrack,neg
ML226,Taio Cruz,Dirty Picture ,neg
ML227,Baby Bash,That's How I Go ,pos
ML228,Baby Bash,Cyclone ,neg
ML229,Baby Bash,Fantasy Girl ,pos
ML230,Ivory Joe Hunter,Since I Met You Baby,pos
ML231,Whitney Houston,I Will Always Love You,pos
ML232,Shop Boyz,Party Like A Rock Star,pos
ML233,Lady Gaga,LoveGame,pos
ML234,Mary J. Blige,Real Love,pos
ML235,Chamillionaire,Ridin ,neg
ML236,Keith Sweat,Nobody ,pos
ML237,Juvenile,Slow Motion ,neg
ML238,Mary Wells,What Love Has Joined Together,pos
ML239,Fidel Rueda,Me Encantaria,neg
ML240,Palomo,No Me Conoces Aun,neg
ML241,Los Pikadientes De Caborca,La Cumbia Del Rio,neg
ML242,K-Paz De La Sierra,Volvere,neg
ML243,Chalino Sanchez,Cuatro Espadas,neg
ML244,Banda El Recodo,Pena Tras Pena,neg
ML245,Los Cadetes De Linares,Las Tres Tumbas,neg
ML246,Los Temerarios,Al Otro Lado Del Sol,neg
ML247,Chalino Sanchez,Baraja De Oro ,neg
ML248,Eric Church,Love Your Love The Most,pos
ML249,Tim McGraw,It's Your Love ,pos
ML250,Temple Of The Dog,Hunger Strike,neg
ML251,Eric Clapton,Cocaine,neg
ML252,Soul For Real,Candy Rain,pos
ML253,Tank,Sex Music,pos
ML254,Matt Redman,This Is How We Know,pos
ML255,Big Daddy Weave,Just The Way I Am,pos
ML256,Point Of Grace,All The World,pos
ML257,Steven Curtis Chapman,All About Love,pos
ML258,Chris Tomlin,Our God,pos
