,title,artist,positive,negative,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,unknown,total_number_of_words,emotional_impact_words,neutral_words,norm_positive,norm_negative,norm_anger,norm_anticipation,norm_disgust,norm_fear,norm_joy,norm_sadness,norm_surprise,norm_trust,norm_unknown,norm_total_number_of_words,norm_emotional_impact_words,norm_neutral_words
ML1,There Goes My Baby,Usher,37,4,2,14,3,3,36,4,9,18,125,238,41,72,15.546218487394958,1.680672268907563,0.8403361344537815,5.882352941176471,1.2605042016806722,1.2605042016806722,15.126050420168067,1.680672268907563,3.7815126050420167,7.563025210084033,52.52100840336134,100.0,17.22689075630252,30.252100840336134
ML2,On My Mind,Da'Ville,5,3,1,3,1,3,3,0,1,3,56,93,8,29,5.376344086021505,3.225806451612903,1.075268817204301,3.225806451612903,1.075268817204301,3.225806451612903,3.225806451612903,0.0,1.075268817204301,3.225806451612903,60.215053763440864,100.0,8.602150537634408,31.182795698924732
ML3,Rockstar 101 ,Rihanna,82,12,6,28,4,6,69,8,3,23,170,335,94,71,24.47761194029851,3.582089552238806,1.791044776119403,8.35820895522388,1.1940298507462686,1.791044776119403,20.597014925373134,2.388059701492537,0.8955223880597015,6.865671641791045,50.74626865671642,100.0,28.059701492537314,21.19402985074627
ML4,Bed,J. Holiday,49,7,4,16,0,8,26,6,4,7,129,330,56,145,14.848484848484848,2.121212121212121,1.2121212121212122,4.848484848484849,0.0,2.4242424242424243,7.878787878787879,1.8181818181818181,1.2121212121212122,2.121212121212121,39.09090909090909,100.0,16.96969696969697,43.93939393939394
ML5,Don't Haffi Dread,Morgan Heritage,5,7,0,8,0,12,1,0,0,5,63,114,12,39,4.385964912280702,6.140350877192983,0.0,7.017543859649122,0.0,10.526315789473685,0.8771929824561403,0.0,0.0,4.385964912280702,55.26315789473684,100.0,10.526315789473685,34.21052631578947
ML6,My Love Is Your Love,Whitney Houston,32,10,4,5,4,6,30,6,10,2,93,187,42,52,17.112299465240643,5.347593582887701,2.1390374331550803,2.6737967914438503,2.1390374331550803,3.2085561497326203,16.0427807486631,3.2085561497326203,5.347593582887701,1.0695187165775402,49.73262032085562,100.0,22.459893048128343,27.807486631016044
ML7,Study People,Serani,31,42,25,12,24,22,11,29,10,13,196,306,73,37,10.130718954248366,13.72549019607843,8.169934640522875,3.9215686274509802,7.8431372549019605,7.189542483660131,3.5947712418300655,9.477124183006536,3.2679738562091503,4.248366013071895,64.05228758169935,100.0,23.856209150326798,12.091503267973856
ML9,Can't Let You Go,Coro,27,18,3,11,3,5,27,13,2,3,179,264,45,40,10.227272727272727,6.818181818181818,1.1363636363636365,4.166666666666667,1.1363636363636365,1.893939393939394,10.227272727272727,4.924242424242424,0.7575757575757576,1.1363636363636365,67.8030303030303,100.0,17.045454545454547,15.151515151515152
ML10,Slam,Beenie Man,36,33,19,12,15,33,22,16,25,20,214,368,69,85,9.782608695652174,8.967391304347826,5.163043478260869,3.260869565217391,4.076086956521739,8.967391304347826,5.978260869565218,4.3478260869565215,6.793478260869565,5.434782608695652,58.15217391304348,100.0,18.75,23.097826086956523
ML11,Love Him Like I Do ,Deitrick Haddon,40,7,6,8,3,6,36,3,4,15,99,166,47,20,24.096385542168676,4.216867469879518,3.6144578313253013,4.819277108433735,1.8072289156626506,3.6144578313253013,21.686746987951807,1.8072289156626506,2.4096385542168677,9.036144578313253,59.63855421686747,100.0,28.313253012048193,12.048192771084338
ML12,ABC,The Jackson 5,44,0,1,11,1,0,40,10,7,24,141,245,44,60,17.959183673469386,0.0,0.40816326530612246,4.489795918367347,0.40816326530612246,0.0,16.3265306122449,4.081632653061225,2.857142857142857,9.795918367346939,57.55102040816327,100.0,17.959183673469386,24.489795918367346
ML13,The Lady In My Life,Maysa,25,6,2,4,4,2,23,3,1,5,64,168,31,73,14.880952380952381,3.5714285714285716,1.1904761904761905,2.380952380952381,2.380952380952381,1.1904761904761905,13.69047619047619,1.7857142857142858,0.5952380952380952,2.9761904761904763,38.095238095238095,100.0,18.452380952380953,43.45238095238095
