,title,artist,valence,arousal,dominance,sd_valence,sd_arousal,sd_dominance,empty,empty,empty,empty,unknown,total_number_of_words,emotional_impact_words,empty,norm_valence,norm_arousal,norm_dominance,empty,empty,empty,empty,empty,empty,empty,norm_unknown,norm_total,norm_emotional_impact,empty
ML1,There Goes My Baby,Usher,6.343105590062113,4.275403726708075,5.563664596273291,1.6805590062111808,2.479378881987577,2.143291925465839,0,0,0,0,77,238,161,0,70.47895100069015,47.504485852311944,61.818495514147685,0,0,0,0,0,0,0,32.35294117647059,100,67.64705882352942,0.0
ML2,On My Mind,Da'Ville,6.558571428571427,4.72261904761905,5.790000000000002,1.610238095238095,2.388809523809525,2.171904761904762,0,0,0,0,51,93,42,0,72.87301587301585,52.473544973544996,64.33333333333336,0,0,0,0,0,0,0,54.83870967741935,100,45.16129032258064,0.0
ML3,Rockstar 101 ,Rihanna,6.268285714285713,4.325028571428579,5.351142857142865,1.8741714285714313,2.4850285714285696,2.367028571428574,0,0,0,0,160,335,175,0,69.64761904761903,48.0558730158731,59.45714285714295,0,0,0,0,0,0,0,47.76119402985074,100,52.23880597014925,0.0
ML4,Bed,J. Holiday,6.386055045871564,3.943211009174311,5.9304587155963375,1.6162844036697246,2.3667431192660553,2.210963302752295,0,0,0,0,112,330,218,0,70.9561671763507,43.81345565749234,65.8939857288482,0,0,0,0,0,0,0,33.939393939393945,100,66.06060606060606,0.0
ML5,Don't Haffi Dread,Morgan Heritage,5.531509433962263,4.419622641509436,5.377169811320754,1.8043396226415096,2.3794339622641516,2.3005660377358503,0,0,0,0,61,114,53,0,61.46121593291404,49.106918238993735,59.74633123689726,0,0,0,0,0,0,0,53.50877192982456,100,46.49122807017544,0.0
ML6,My Love Is Your Love,Whitney Houston,6.091517857142856,4.547767857142859,5.337142857142858,1.6575892857142844,2.5799999999999987,2.3802678571428553,0,0,0,0,75,187,112,0,67.68353174603173,50.530753968254,59.30158730158731,0,0,0,0,0,0,0,40.106951871657756,100,59.893048128342244,0.0
ML7,Study People,Serani,5.343588235294115,4.142117647058817,5.361411764705884,1.6919411764705892,2.3705882352941177,2.229000000000001,0,0,0,0,136,306,170,0,59.37320261437906,46.023529411764635,59.57124183006537,0,0,0,0,0,0,0,44.44444444444444,100,55.55555555555556,0.0
ML9,Can't Let You Go,Coro,6.355850340136063,4.135034013605446,5.6038095238095185,1.5977551020408147,2.434013605442175,2.19136054421769,0,0,0,0,117,264,147,0,70.62055933484514,45.94482237339384,62.2645502645502,0,0,0,0,0,0,0,44.31818181818182,100,55.68181818181818,0.0
ML10,Slam,Beenie Man,6.0226999999999995,4.57,5.3763999999999985,1.6043500000000004,2.42125,2.1103500000000026,0,0,0,0,168,368,200,0,66.91888888888889,50.77777777777778,59.737777777777765,0,0,0,0,0,0,0,45.65217391304348,100,54.347826086956516,0.0
ML11,Love Him Like I Do ,Deitrick Haddon,6.523153153153158,4.412432432432434,5.7174774774774715,1.5716216216216206,2.545045045045045,2.215135135135133,0,0,0,0,55,166,111,0,72.47947947947954,49.027027027027046,63.527527527527454,0,0,0,0,0,0,0,33.13253012048193,100,66.86746987951807,0.0
ML12,ABC,The Jackson 5,6.5029999999999974,3.954687500000005,5.888249999999997,1.5589374999999994,2.4470624999999986,2.1386875000000005,0,0,0,0,85,245,160,0,72.25555555555553,43.94097222222227,65.42499999999997,0,0,0,0,0,0,0,34.69387755102041,100,65.3061224489796,0.0
ML13,The Lady In My Life,Maysa,6.455934959349585,4.3882926829268305,5.682439024390242,1.7441463414634157,2.419105691056911,2.263170731707316,0,0,0,0,45,168,123,0,71.73261065943983,48.75880758807589,63.13821138211381,0,0,0,0,0,0,0,26.785714285714285,100,73.21428571428571,0.0
ML14,We Got Love,Ryan Shaw,6.6604109589041105,4.751095890410964,5.603835616438357,1.7395890410958899,2.6380821917808213,2.5189041095890397,0,0,0,0,85,158,73,0,74.00456621004567,52.7899543378996,62.26484018264841,0,0,0,0,0,0,0,53.79746835443038,100,46.20253164556962,0.0
ML15,I Love How You Love Me,The Paris Sisters,7.069361702127658,4.784255319148939,5.873191489361702,1.5263829787234042,2.762340425531915,2.4385106382978727,0,0,0,0,14,61,47,0,78.54846335697397,53.15839243498821,65.25768321513003,0,0,0,0,0,0,0,22.950819672131146,100,77.04918032786885,0.0
ML16,I Came To Jesus,New Direction,4.94969696969697,4.320909090909092,5.255151515151515,1.7051515151515153,2.293939393939394,2.2339393939393943,0,0,0,0,25,58,33,0,54.996632996633,48.010101010101025,58.39057239057239,0,0,0,0,0,0,0,43.103448275862064,100,56.896551724137936,0.0
ML17,God Great God,Kurt Carr & The Kurt Carr Singers,6.199142857142859,4.9325714285714275,5.693714285714287,2.0068571428571427,2.6062857142857134,2.208,0,0,0,0,23,58,35,0,68.8793650793651,54.806349206349196,63.26349206349208,0,0,0,0,0,0,0,39.6551724137931,100,60.3448275862069,0.0
ML19,Battlefield,Jordin Sparks,5.656158536585368,4.567560975609756,5.285060975609745,1.6876829268292668,2.3801829268292662,2.1903658536585358,0,0,0,0,105,269,164,0,62.84620596205965,50.75067750677507,58.72289972899716,0,0,0,0,0,0,0,39.03345724907063,100,60.966542750929364,0.0
