,title,artist,valence,arousal,dominance,sd_valence,sd_arousal,sd_dominance,empty,empty,empty,empty,unknown,total_number_of_words,emotional_impact_words,empty,norm_valence,norm_arousal,norm_dominance,empty,empty,empty,empty,empty,empty,empty,norm_unknown,norm_total,norm_emotional_impact,empty,genre,year
b1,wooly bully,sam the sham and the pharaohs,4.454599999999998,4.495000000000002,4.7036000000000024,1.8071999999999997,2.1914000000000002,1.9781999999999993,0,0,0,0,44,94,50,0,49.49555555555553,49.944444444444464,52.26222222222225,0,0,0,0,0,0,0,46.808510638297875,100,53.191489361702125,0.0,3,1965
b2,i cant help myself sugar pie honey bunch,four tops,6.407424242424239,4.193030303030305,5.773787878787877,1.671969696969697,2.411363636363638,2.1459090909090914,0,0,0,0,40,106,66,0,71.19360269360266,46.589225589225606,64.15319865319863,0,0,0,0,0,0,0,37.735849056603776,100,62.264150943396224,0.0,1,1965
b3,i cant get no satisfaction,the rolling stones,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,100,0.0,0.0,1,1965
b4,you were on my mind,we five,4.542727272727271,4.665454545454547,4.8618181818181805,1.6472727272727272,2.366969696969697,2.2184848484848487,0,0,0,0,38,71,33,0,50.47474747474746,51.838383838383855,54.02020202020201,0,0,0,0,0,0,0,53.52112676056338,100,46.478873239436616,0.0,1,1965
b5,youve lost that lovin feelin,the righteous brothers,5.816285714285712,4.1607142857142865,5.35771428571429,1.6447142857142858,2.393571428571429,2.2392857142857143,0,0,0,0,70,140,70,0,64.62539682539679,46.23015873015874,59.53015873015878,0,0,0,0,0,0,0,50.0,100,50.0,0.0,1,1965
b6,downtown,petula clark,5.608732394366197,4.256338028169015,5.482957746478873,1.5677464788732394,2.3416901408450697,2.1154929577464783,0,0,0,0,59,130,71,0,62.31924882629109,47.2926447574335,60.92175273865415,0,0,0,0,0,0,0,45.38461538461539,100,54.61538461538461,0.0,1,1965
b7,help,the beatles,6.070624999999997,3.717656249999999,5.975781249999997,1.7489062500000008,2.2421875000000004,1.9576562500000005,0,0,0,0,48,112,64,0,67.45138888888886,41.30729166666666,66.39756944444441,0,0,0,0,0,0,0,42.857142857142854,100,57.14285714285714,0.0,3,1965
b8,cant you hear my heart beat,hermans hermits,6.461511627906976,4.270581395348842,5.506976744186047,1.833023255813954,2.405697674418605,2.271860465116278,0,0,0,0,45,131,86,0,71.79457364341084,47.450904392764905,61.18863049095608,0,0,0,0,0,0,0,34.35114503816794,100,65.64885496183206,0.0,5,1965
b9,crying in the chapel,elvis presley,6.135185185185184,3.815925925925926,5.5844444444444425,1.7075925925925926,2.2861111111111114,2.0583333333333336,0,0,0,0,24,78,54,0,68.16872427983539,42.39917695473251,62.04938271604936,0,0,0,0,0,0,0,30.76923076923077,100,69.23076923076923,0.0,1,1965
b10,my girl,the temptations,6.112580645161286,4.278548387096773,5.445483870967741,1.6037096774193549,2.4559677419354853,2.183709677419355,0,0,0,0,25,87,62,0,67.91756272401429,47.53942652329748,60.505376344086,0,0,0,0,0,0,0,28.735632183908045,100,71.26436781609196,0.0,3,1965
b11,help me rhonda,the beach boys,6.7044859813084186,4.207663551401877,6.487850467289712,1.8639252336448577,2.4157009345794433,1.9103738317757033,0,0,0,0,74,181,107,0,74.49428868120465,46.75181723779863,72.08722741433013,0,0,0,0,0,0,0,40.88397790055249,100,59.11602209944752,0.0,3,1965
b12,king of the road,roger miller,5.307534246575342,3.8997260273972603,5.433013698630137,1.677534246575342,2.24,2.2036986301369863,0,0,0,0,30,103,73,0,58.97260273972602,43.33028919330289,60.36681887366818,0,0,0,0,0,0,0,29.126213592233007,100,70.87378640776699,0.0,1,1965
b13,the birds and the bees,jewel akens,6.14133333333333,3.8995999999999995,5.502666666666667,1.684933333333333,2.3455999999999992,2.0577333333333336,0,0,0,0,16,91,75,0,68.237037037037,43.32888888888888,61.14074074074075,0,0,0,0,0,0,0,17.582417582417584,100,82.41758241758241,0.0,3,1965
b14,hold me thrill me kiss me,mel carter,6.386533333333331,4.729466666666669,5.8164,1.5477333333333334,2.4006666666666674,2.2185333333333355,0,0,0,0,37,112,75,0,70.96148148148146,52.549629629629656,64.62666666666667,0,0,0,0,0,0,0,33.035714285714285,100,66.96428571428571,0.0,1,1965
b15,shotgun,junior walker  the all stars,5.0356097560975615,4.887317073170731,5.305365853658534,1.7282926829268288,2.3139024390243907,2.400731707317073,0,0,0,0,35,76,41,0,55.95121951219513,54.30352303523035,58.948509485094824,0,0,0,0,0,0,0,46.05263157894737,100,53.94736842105263,0.0,3,1965
b16,i got you babe,sonny  cher,6.111428571428572,4.142222222222223,5.93952380952381,1.7139682539682548,2.4480952380952377,2.268412698412698,0,0,0,0,47,110,63,0,67.90476190476191,46.0246913580247,65.994708994709,0,0,0,0,0,0,0,42.72727272727273,100,57.27272727272727,0.0,3,1965
b17,this diamond ring,gary lewis  the playboys,6.346428571428569,4.823035714285715,5.554999999999998,1.724642857142857,2.564642857142856,2.2546428571428576,0,0,0,0,31,87,56,0,70.51587301587298,53.58928571428572,61.7222222222222,0,0,0,0,0,0,0,35.63218390804598,100,64.36781609195403,0.0,3,1965
b18,the in crowd,ramsey lewis trio,6.76,3.92,6.68,1.45,2.36,1.95,0,0,0,0,0,1,1,0,75.11111111111111,43.55555555555556,74.22222222222223,0,0,0,0,0,0,0,0.0,100,100.0,0.0,3,1965
b19,mrs brown youve got a lovely daughter,hermans hermits,6.147419354838709,3.994677419354839,5.57290322580645,1.6332258064516127,2.3711290322580636,2.085161290322581,0,0,0,0,50,112,62,0,68.30465949820787,44.38530465949821,61.921146953405,0,0,0,0,0,0,0,44.642857142857146,100,55.35714285714286,0.0,1,1965
