,title,artist,positive,negative,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,unknown,total_number_of_words,emotional_impact_words,neutral_words,norm_positive,norm_negative,norm_anger,norm_anticipation,norm_disgust,norm_fear,norm_joy,norm_sadness,norm_surprise,norm_trust,norm_unknown,norm_total_number_of_words,norm_emotional_impact_words,norm_neutral_words
ML1,wooly bully,sam the sham and the pharaohs,3,19,19,1,2,17,1,0,1,1,0,94,22,72,3.1914893617021276,20.21276595744681,20.21276595744681,1.0638297872340425,2.127659574468085,18.085106382978722,1.0638297872340425,0.0,1.0638297872340425,1.0638297872340425,0.0,100.0,23.404255319148938,0
ML2,i cant help myself sugar pie honey bunch,four tops,14,1,0,2,1,0,7,0,0,0,0,106,15,91,13.20754716981132,0.9433962264150944,0.0,1.8867924528301887,0.9433962264150944,0.0,6.60377358490566,0.0,0.0,0.0,0.0,100.0,14.150943396226415,0
ML3,i cant get no satisfaction,the rolling stones,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ML4,you were on my mind,we five,2,10,3,4,0,8,0,8,0,0,0,71,12,59,2.816901408450704,14.084507042253522,4.225352112676056,5.633802816901408,0.0,11.267605633802816,0.0,11.267605633802816,0.0,0.0,0.0,100.0,16.901408450704224,0
ML5,youve lost that lovin feelin,the righteous brothers,17,8,1,1,1,1,17,7,2,1,0,140,25,115,12.142857142857142,5.714285714285714,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,12.142857142857142,5.0,1.4285714285714286,0.7142857142857143,0.0,100.0,17.857142857142858,0
ML6,downtown,petula clark,7,14,3,7,3,5,4,6,1,5,0,130,21,109,5.384615384615385,10.76923076923077,2.3076923076923075,5.384615384615385,2.3076923076923075,3.8461538461538463,3.076923076923077,4.615384615384615,0.7692307692307693,3.8461538461538463,0.0,100.0,16.153846153846153,0
ML7,help,the beatles,8,5,4,7,3,5,4,4,5,7,0,112,13,99,7.142857142857143,4.464285714285714,3.5714285714285716,6.25,2.6785714285714284,4.464285714285714,3.5714285714285716,3.5714285714285716,4.464285714285714,6.25,0.0,100.0,11.607142857142858,0
ML8,cant you hear my heart beat,hermans hermits,33,0,1,4,0,1,32,0,0,3,0,131,33,98,25.19083969465649,0.0,0.7633587786259542,3.053435114503817,0.0,0.7633587786259542,24.427480916030536,0.0,0.0,2.2900763358778624,0.0,100.0,25.19083969465649,0
ML9,crying in the chapel,elvis presley,14,4,1,9,2,3,11,3,2,12,0,78,18,60,17.94871794871795,5.128205128205129,1.2820512820512822,11.538461538461538,2.5641025641025643,3.8461538461538463,14.102564102564102,3.8461538461538463,2.5641025641025643,15.384615384615385,0.0,100.0,23.076923076923077,0
ML10,my girl,the temptations,9,6,8,3,1,1,6,2,6,3,0,87,15,72,10.344827586206897,6.896551724137931,9.195402298850574,3.4482758620689653,1.1494252873563218,1.1494252873563218,6.896551724137931,2.2988505747126435,6.896551724137931,3.4482758620689653,0.0,100.0,17.24137931034483,0
